State	Vibr.	J	Energy	Index
X	0	0.5	0	0
X	0	0.5	3.92578272	1
X	0	1.5	3.93944772	2
X	0	1.5	11.79086148	3
X	0	2.5	11.81363648	4
X	0	2.5	23.59037792	5
X	0	3.5	23.62226292	6
X	0	3.5	39.323877	7
X	0	4.5	39.364872	8
X	0	4.5	58.990752	9
X	0	5.5	59.040857	10
X	0	5.5	82.59024452	11
X	0	6.5	82.64945952	12
X	0	6.5	110.12144448	13
X	0	7.5	110.18976948	14
X	0	7.5	141.58329012	15
X	0	8.5	141.66072512	16
X	0	8.5	176.974568	17
X	0	9.5	177.061113	18
X	0	9.5	216.293913	19
X	0	10.5	216.389568	20
X	0	10.5	259.53980832	21
X	0	11.5	259.64457332	22
X	0	11.5	306.71058548	23
X	0	12.5	306.82446048	24
X	0	12.5	357.80442432	25
X	0	13.5	357.92740932	26
X	0	13.5	412.819353	27
X	0	14.5	412.951448	28
X	0	14.5	471.753248	29
X	0	15.5	471.894453	30
X	0	15.5	534.60383412	31
X	0	16.5	534.75414912	32
X	0	16.5	601.36868448	33
X	0	17.5	601.52810948	34
X	0	17.5	672.04522052	35
X	0	18.5	672.21375552	36
X	0	18.5	746.630712	37
X	0	19.5	746.808357	38
X	0	19.5	825.122277	39
X	0	20.5	825.309032	40
X	1	0.5	2183.9129	65
X	1	0.5	2187.8007226	66
X	1	1.5	2187.8142976	67
X	1	1.5	2195.5897904	68
X	1	2.5	2195.6124154	69
X	1	2.5	2207.2752736	72
X	1	3.5	2207.3069486	73
X	1	3.5	2222.856715	74
X	1	4.5	2222.89744	75
X	1	4.5	2242.333505	76
X	1	5.5	2242.38328	77
X	1	5.5	2265.7048816	78
X	1	6.5	2265.7637066	79
X	1	6.5	2292.9699304	80
X	1	7.5	2293.0378054	81
X	1	7.5	2324.1275846	82
X	1	8.5	2324.2045096	83
X	1	8.5	2359.176625	86
X	1	9.5	2359.2626	87
X	1	9.5	2398.11568	88
X	1	10.5	2398.210705	89
X	1	10.5	2440.9432256	90
X	1	11.5	2441.0473006	91
X	1	11.5	2487.6575854	94
X	1	12.5	2487.7707104	95
X	1	12.5	2538.2569306	96
X	1	13.5	2538.3791056	97
X	1	13.5	2592.73928	98
X	1	14.5	2592.870505	99
X	1	14.5	2651.1025	102
X	1	15.5	2651.242775	103
X	1	15.5	2713.3443046	104
X	1	16.5	2713.4936296	105
X	1	16.5	2779.4622554	108
X	1	17.5	2779.6206304	109
X	1	17.5	2849.4537616	110
X	1	18.5	2849.6211866	111
X	1	18.5	2923.31608	114
X	1	19.5	2923.492555	115
X	1	19.5	3001.046315	116
X	1	20.5	3001.23184	117
X	2	0.5	4337.5041	158
X	2	0.5	4341.35390252	159
X	2	1.5	4341.36735752	160
X	2	1.5	4349.06680968	161
X	2	2.5	4349.08923468	162
X	2	2.5	4360.63803072	163
X	2	3.5	4360.66942572	164
X	2	3.5	4376.067107	167
X	2	4.5	4376.107472	168
X	2	4.5	4395.353427	169
X	2	5.5	4395.402762	170
X	2	5.5	4418.49622632	173
X	2	6.5	4418.55453132	174
X	2	6.5	4445.49458768	175
X	2	7.5	4445.56186268	176
X	2	7.5	4476.34744092	177
X	2	8.5	4476.42368592	178
X	2	8.5	4511.053563	181
X	2	9.5	4511.138778	182
X	2	9.5	4549.611578	183
X	2	10.5	4549.705763	184
X	2	10.5	4592.01995712	185
X	2	11.5	4592.12311212	186
X	2	11.5	4638.27701868	191
X	2	12.5	4638.38914368	192
X	2	12.5	4688.38092812	193
X	2	13.5	4688.50202312	194
X	2	13.5	4742.329698	195
X	2	14.5	4742.459763	196
X	2	14.5	4800.121188	201
X	2	15.5	4800.260223	202
X	2	15.5	4861.75310492	203
X	2	16.5	4861.90110992	204
X	2	16.5	4927.22300268	207
X	2	17.5	4927.37997768	208
X	2	17.5	4996.52828232	210
X	2	18.5	4996.69422732	211
X	2	18.5	5069.666192	214
X	2	19.5	5069.841107	215
X	2	19.5	5146.633827	216
X	2	20.5	5146.817712	217
Pi	0	1.5	20349.7683981034	300
Pi	0	1.5	20349.7684445727	301
Pi	0	2.5	20357.5659073333	302
Pi	0	2.5	20357.5660928595	303
Pi	0	3.5	20368.4821183648	304
Pi	0	3.5	20368.48258096	305
Pi	0	4.5	20382.5167449611	306
Pi	0	4.5	20382.5176670391	307
Pi	0	5.5	20399.6694214244	308
Pi	0	5.5	20399.6710284706	309
Pi	0	6.5	20419.9396993633	310
Pi	0	6.5	20419.942258324	311
Pi	0	7.5	20443.3270438479	312
Pi	0	7.5	20443.3308612712	313
Pi	0	8.5	20469.830829031	314
